,Company,Year,SECTOR,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,profit,ESG_Exposure,ESG_Managed,ESG_Class,BVE,ESG_Index
142,CF,2022,8,Materials,70.0738754272461,67.41669464111328,16.45,5051000,203300,3346000,58.525,27.899,6.333,24.84505656665027,2.24160649662573
143,CF,2023,8,Materials,82.1131820678711,73.62094116210938,7.89,5717000,193300,1525000,57.442,27.787,5.5,29.57578892912571,1.8830525781203065
144,CHD,2020,3,Consumer Staples,83.82141876220703,82.02835083007812,3.18,3020400,246800,785900,43.25,18.446,5.0,12.238249594813615,0.29925704149449905
145,CHD,2021,3,Consumer Staples,96.4948501586914,90.21229553222656,3.38,3233200,244900,827500,42.95,20.436,4.833,13.202123315639037,0.36598008873363735
146,CHD,2022,3,Consumer Staples,86.87364196777344,98.81172943115234,1.7,3489900,242900,413900,39.65,19.974,3.0,14.367641004528613,-0.486382111279604
147,CHD,2023,3,Consumer Staples,103.7316665649414,103.4051971435547,3.09,3855400,244900,755600,40.887,20.442,4.333,15.742752143732135,0.0819004104836948
148,CHRW,2020,6,Industrials,87.17446899414062,86.0387191772461,3.74,1879933,135532,506421,33.688,7.8,5.0,13.870768526989936,-0.9581748361337079
149,CHRW,2021,6,Industrials,101.1173706054688,95.67660522460938,6.37,2021934,132482,844245,33.175,10.912,5.0,15.261952567141197,-0.7640107187996013
150,CHRW,2022,6,Industrials,95.3012924194336,91.04566955566406,7.48,1353422,125743,940524,33.292,13.353,3.833,10.763398360147285,-0.9961309779417876
151,CHRW,2023,6,Industrials,74.99117279052734,87.50798797607422,2.74,1418697,118551,325129,33.8,14.495,3.333,11.966976238074754,-1.064751971610371
152,CHTR,2020,1,Communication Services,617.02001953125,721.4500122070312,15.85,23805000,203316,3222000,28.15,8.101,4.167,117.08375140175883,-1.5209120626863555
153,CHTR,2021,1,Communication Services,545.52001953125,468.5299987792969,25.34,14050000,183669,4654000,33.933,11.113,5.0,76.49630585455357,-0.7100006609017039
154,CHTR,2022,1,Communication Services,357.6099853515625,367.3699951171875,31.3,9119000,161501,5055000,42.354,16.717,5.0,56.46404666224977,0.12947514856381231
155,CHTR,2023,1,Communication Services,290.6300048828125,298.9599914550781,30.54,11086000,149208,4557000,43.3,18.891,5.0,74.29896520293818,0.333487541917078
156,CL,2020,3,Consumer Staples,72.12767791748047,74.84884643554688,3.15,743000,856800,2695000,40.365,18.407,5.0,0.8671802054154996,0.14526232388827737
157,CL,2021,3,Consumer Staples,70.96791076660156,75.40898132324219,2.56,609000,845000,2166000,39.6,18.104,5.0,0.7207100591715976,0.08363999106631262
158,CL,2022,3,Consumer Staples,72.03397369384766,74.3100357055664,2.13,401000,836400,1785000,41.767,19.702,5.0,0.47943567670970827,0.31073919797235366
159,CL,2023,3,Consumer Staples,88.5473403930664,95.99073791503906,2.78,609000,827400,2300000,43.5,19.703,5.0,0.7360406091370558,0.4016497272540165
160,CMCSA,2020,1,Communication Services,49.20186614990234,52.08507537841797,2.3,90323000,4580656,10534000,28.3,8.667,3.0,19.718354750935237,-1.8844891726710997
161,CMCSA,2021,1,Communication Services,43.33933258056641,36.50269317626953,3.12,96092000,4533230,14159000,30.688,10.1,3.5,21.197247878444287,-1.4811575155066607
162,CMCSA,2022,1,Communication Services,36.02129364013672,39.78713607788086,1.27,80943000,4220119,5370000,38.1,13.355,5.0,19.180264821916158,-0.33232132279349214
163,CMCSA,2023,1,Communication Services,42.40029525756836,38.55708312988281,3.87,82703000,3978762,15388000,41.55,18.408,5.0,20.786113871601266,0.20744807299993803
164,CME,2020,4,Financials,178.2398376464844,186.3982543945312,5.88,26319900,357764,2105200,28.15,12.067,3.0,73.56777093279368,-1.6508400433259764
165,CME,2021,4,Financials,214.1683959960937,185.1424713134766,7.3,27399300,358340,2617100,28.75,14.205,3.0,76.46174024669308,-1.4675212820189916
166,CME,2022,4,Financials,180.657470703125,175.8440856933594,7.41,26878700,358713,2657200,31.1,15.502,3.0,74.93093364333046,-1.2522105692038257
167,CME,2023,4,Financials,212.940673828125,195.4779052734375,8.87,26737900,359023,3185600,33.475,15.736,3.0,74.47405876503734,-1.1110973581631858
168,CMG,2020,2,Consumer Discretionary,28.41640090942383,31.00679969787598,0.25,2020135,1395850,355766,38.477,13.879,5.0,1.447243615001612,-0.27533870915406444
169,CMG,2021,2,Consumer Discretionary,31.64060020446777,26.14520072937012,0.46,2297374,1406600,652984,38.921,14.64,5.0,1.633281672117162,-0.1980093344688025
170,CMG,2022,2,Consumer Discretionary,34.16579818725586,42.77999877929688,0.65,2368023,1392550,899101,39.508,15.572,5.0,1.7004940576639977,-0.1010376393978128
171,CMG,2023,2,Consumer Discretionary,58.13539886474609,62.65000152587891,0.89,3062207,1377750,1228737,39.917,17.481,5.0,2.2226144075485395,0.05600285603271438
172,CNC,2020,5,Health Care,63.90999984741211,72.93000030517578,3.17,25773000,570722,1808000,36.05,9.74,5.0,45.158588594797465,-0.6965609793238577
173,CNC,2021,5,Health Care,84.19000244140625,84.61000061035156,2.31,26795000,582832,1347000,35.887,13.296,5.0,45.973796908886264,-0.4525121498166906
174,CNC,2022,5,Health Care,63.20999908447266,67.44999694824219,2.09,24057000,575191,1202000,36.658,15.359,5.0,41.824367905617436,-0.26555746418711884
175,CNC,2023,5,Health Care,78.4800033569336,66.30000305175781,4.97,25840000,543319,2702000,36.8,16.61,3.833,47.55953684667755,-0.5808963993568053
